,all,neg,pos,neu
liverpool,5,,2.0,3.0
schoooool,1,,,1.0
onoger,1,,,1.0
honza,1,1.0,,
czech,2,1.0,,1.0
republic,2,1.0,,1.0
_jeffe83,1,,,1.0
toggling,1,,,1.0
ganesh,1,,,1.0
jaju,1,,,1.0
browsing,4,1.0,1.0,2.0
somatic,3,,,3.0
leopard,4,,1.0,3.0
installers,1,,,1.0
shapeshifter,1,,,1.0
independent,4,2.0,1.0,1.0
deceitful,1,,,1.0
unreal,3,1.0,1.0,1.0
jones,3,,2.0,1.0
diplomat,1,1.0,,
_perez,1,,1.0,
e0zfz,1,1.0,,
telly,2,2.0,,
sesion,1,1.0,,
villains,1,,,1.0
eldorado,1,,,1.0
aliante,1,,,1.0
fade,2,,,2.0
moring,3,,3.0,
bullwinkle,1,,,1.0
fractured,1,,,1.0
fairy,1,,,1.0
_idiots,1,,,1.0
alrighty,2,,1.0,1.0
mister,4,1.0,1.0,2.0
bumbed,1,,,1.0
donations,1,1.0,,
toward,3,1.0,1.0,1.0
fund,1,1.0,,
organic,3,1.0,1.0,1.0
yano,1,,,1.0
elijah,1,,1.0,
hahhahah,1,,1.0,
ham,2,,,2.0
a0pyr,1,,,1.0
phils,2,2.0,,
mommiessss,1,,1.0,
assing,1,,,1.0
brighter,3,,,3.0
biznesssss,1,,,1.0
paring,1,,1.0,
destroyed,1,1.0,,
_star,1,,1.0,
registered,5,1.0,1.0,3.0
brent,1,,1.0,
headzup,1,,1.0,
kaylen,1,,,1.0
finna,3,1.0,1.0,1.0
uuurgg,1,,,1.0
x2bp2,1,,,1.0
shul,1,,,1.0
charter,1,1.0,,
patio,5,2.0,3.0,
grouling,1,,1.0,
whuahahhaha,1,,1.0,
bram,1,,1.0,
ladages,1,,1.0,
applejacks,1,,1.0,
nicoles,1,,1.0,
preprom,2,,2.0,
dubbed,2,,,2.0
forwarding,1,,,1.0
legit,7,2.0,2.0,3.0
creators,1,,,1.0
kayla,5,1.0,1.0,3.0
keyed,2,2.0,,
hood,6,2.0,,4.0
cote,1,,,1.0
mandriva,1,,,1.0
illegal,4,4.0,,
scratched,2,2.0,,
omgeee,1,1.0,,
helll,1,1.0,,
jer,1,,1.0,
goddamn,3,3.0,,
haywire,1,1.0,,
sleepless,2,2.0,,
sparkly,3,,,3.0
_cm,1,1.0,,
stomache,1,1.0,,
spoke,10,2.0,3.0,5.0
keith,4,2.0,,2.0
urbans,2,1.0,,1.0
sicken,1,1.0,,
4vp3x,1,,,1.0
swoon,1,,,1.0
faints,1,,,1.0
visteon,1,,1.0,
belfast,3,,1.0,2.0
salary,5,2.0,2.0,1.0
_pyee,1,,,1.0
wheel,4,2.0,1.0,1.0
booooo,3,1.0,,2.0
chirping,4,2.0,1.0,1.0
scurred,1,,,1.0
12yr,1,,1.0,
lego,4,1.0,2.0,1.0
dozens,1,,1.0,
stormtroopers,1,,1.0,
tormented,1,,,1.0
bfoyf,1,,,1.0
geneva,3,1.0,1.0,1.0
mimmiz,1,,1.0,
_eclectic,1,,,1.0
hurghada,1,1.0,,
doogie,1,,,1.0
howser,1,,,1.0
captains,2,,,2.0
rescheduled,3,1.0,,2.0
blazin,1,,1.0,
revival,1,,1.0,
rooting,5,,3.0,2.0
dz7tms,1,,1.0,
echo,1,,1.0,
gorilla,2,,1.0,1.0
zoe,4,,2.0,2.0
burgundy,1,1.0,,
scion,2,1.0,1.0,
xb,1,1.0,,
minivan,1,1.0,,
shawdows,1,1.0,,
ughh,8,7.0,,1.0
mogul,1,,1.0,
fanciful,1,,,1.0
24hr,1,,,1.0
ambers,1,,,1.0
minish,1,,1.0,
ezlo,1,,1.0,
hectic,6,3.0,2.0,1.0
_4,1,,,1.0
mocking,1,,,1.0
partytiiime,1,,1.0,
medisoft,1,,,1.0
fiesta,2,,1.0,1.0
twitternut,1,,1.0,
squashes,1,,1.0,
mozy,1,,,1.0
scruffy,1,,1.0,
nerfherders,1,,1.0,
amis,1,,1.0,
4wsy6,1,,,1.0
beauty,9,1.0,3.0,5.0
spree,4,2.0,1.0,1.0
extension,2,,,2.0
contract,6,3.0,2.0,1.0
kari,1,,1.0,
jazzy,2,,,2.0
pony,4,3.0,,1.0
sumone,2,,1.0,1.0
fletcher,1,,,1.0
twins,8,,3.0,5.0
dammm,1,1.0,,
lollllll,1,1.0,,
knowledgable,1,1.0,,
mpre,1,,1.0,
chanclas,1,,,1.0
swedish,4,,3.0,1.0
noe,3,,1.0,2.0
hmmmmmmm,1,,,1.0
aiaahh,1,1.0,,
_b_judah,1,,,1.0
roscoe,2,2.0,,
sailin,1,1.0,,
liver,4,1.0,1.0,2.0
struggles,1,1.0,,
forgets,2,2.0,,
aid,1,,,1.0
excitement,3,,1.0,2.0
iwish,1,,,1.0
board,16,4.0,7.0,5.0
15minutes,1,,,1.0
racers,2,,2.0,
pineapple,5,,3.0,2.0
smoothie,6,,4.0,2.0
logs,1,,,1.0
facepanda,1,,1.0,
flooding,2,2.0,,
allegra,2,1.0,1.0,
flonase,1,1.0,,
steroid,1,1.0,,
inhaler,1,1.0,,
allergy,3,3.0,,
chore,1,1.0,,
mopping,2,2.0,,
pune,3,,,3.0
milkshakes,2,,2.0,
areo,1,,1.0,
blended,1,,1.0,
lumpy,1,,1.0,
chattering,1,,1.0,
freebies,1,1.0,,
jbnoy,1,1.0,,
_cullen8,1,,,1.0
22nd,6,2.0,1.0,3.0
helen,2,1.0,,1.0
vmware,3,,1.0,2.0
lolz,6,1.0,4.0,1.0
rels,1,,,1.0
beggin,1,1.0,,
notices,2,2.0,,
hannahmovie,1,,1.0,
withmom,1,,1.0,
johny,1,,,1.0
ironic,3,,,3.0
producing,1,1.0,,
anchoring,1,1.0,,
lynne,2,1.0,1.0,
ashminov,1,1.0,,
zion,1,,,1.0
pure,9,2.0,3.0,4.0
genious,1,,1.0,
falls,3,1.0,,2.0
1pm,2,1.0,,1.0
collections,1,,1.0,
youth,9,1.0,2.0,6.0
wonderfull,1,,1.0,
breakfst,1,,1.0,
ofcourse,3,,2.0,1.0
chemistry,10,3.0,1.0,6.0
goal,5,1.0,2.0,2.0
dared,1,,,1.0
canad,1,,,1.0
zen,1,,1.0,
acplish,3,1.0,2.0,
flush,3,1.0,2.0,
seafood,5,1.0,3.0,1.0
chow,1,1.0,,
noooowww,1,1.0,,
hedberg,1,,,1.0
floss,1,,,1.0
nigel,1,,1.0,
inexplicably,1,,1.0,
appeared,2,,1.0,1.0
wardrobe,2,1.0,,1.0
intervention,1,,,1.0
installments,1,,,1.0
deena,1,,,1.0
chrisette,1,,1.0,
micheles,1,,1.0,
epiphany,1,,1.0,
harmon,1,,,1.0
pb,3,,3.0,
fiddler,3,,3.0,
topol,1,,1.0,
looooved,1,,1.0,
sheet,3,1.0,2.0,
trening,1,,,1.0
ovation,1,,1.0,
aaah,3,,1.0,2.0
incarnated,1,,,1.0
mutant,1,,,1.0
ghalib,1,,,1.0
averaged,1,,1.0,
congratss,2,,2.0,
sadface,1,1.0,,
slush,2,,1.0,1.0
khayyam,1,,,1.0
wakil,1,,,1.0
announce,3,,,3.0
lump,1,,,1.0
fewfffff,1,,,1.0
bloodtests,1,,,1.0
fishy,2,1.0,,1.0
fishys,1,,,1.0
painted,3,,1.0,2.0
metallic,2,,1.0,1.0
tww,1,,,1.0
solving,2,,1.0,1.0
puzzles,1,,,1.0
racism,3,2.0,1.0,
awwwh,3,,1.0,2.0
tetep,1,,,1.0
kurang,1,,,1.0
3bt,1,,,1.0
buat,1,,,1.0
kamis,1,,,1.0
nih,1,,,1.0
huaaaa,2,1.0,,1.0
gila,2,1.0,,1.0
syapa,1,,,1.0
mooorning,1,,1.0,
plm,1,1.0,,
mornings,6,2.0,2.0,2.0
technical,4,1.0,2.0,1.0
technician,2,,,2.0
deprivation,1,,1.0,
sumthin,4,,,4.0
akankah,1,,,1.0
suatu,1,,,1.0
hari,1,,,1.0
ku,2,,,2.0
kan,3,,,3.0
mendapatkannya,1,,,1.0
riveting,1,,1.0,
toothpicks,1,,1.0,
confusion,2,,2.0,
sections,2,1.0,1.0,
regional,1,,1.0,
ribbon,1,,,1.0
aspirating,1,1.0,,
acid,4,3.0,,1.0
reflux,2,2.0,,
nerding,1,,,1.0
godd,1,1.0,,
seriousslyyy,1,1.0,,
tragidy,1,1.0,,
sweep,3,,3.0,
yeasterday,1,,1.0,
balcony,3,2.0,1.0,
wiew,1,,1.0,
nicer,3,,2.0,1.0
ginger,8,4.0,,4.0
embarrassd,1,1.0,,
phoenixfm,2,,,2.0
php,3,1.0,,2.0
partyyyyy,2,1.0,1.0,
brittneys,1,1.0,,
factor,5,3.0,1.0,1.0
oompa,1,1.0,,
lumpa,1,1.0,,
discussions,3,,1.0,2.0
67bpd,1,,,1.0
wdw,1,,,1.0
reunited,2,,2.0,
kunguma,1,,1.0,
poovum,1,,1.0,
konjuma,1,,1.0,
puravum,1,,1.0,
cinematography,1,,1.0,
thumbs,6,2.0,4.0,
alter,1,1.0,,
doente,1,,,1.0
insuran,1,1.0,,
meanw,1,1.0,,
chuu,1,1.0,,
muggy,1,,,1.0
ayy,1,,1.0,
okayyy,2,,2.0,
kanina,1,,1.0,
wfd,1,,,1.0
lasagna,2,,,2.0
kayy,1,,1.0,
fasho,2,,1.0,1.0
impact,1,1.0,,
woopity,1,1.0,,
doo,5,1.0,2.0,2.0
slurpeeee,1,1.0,,
suffolk,1,,,1.0
mb,2,,,2.0
picnic,11,1.0,5.0,5.0
jodi,2,1.0,,1.0
spelt,4,1.0,1.0,2.0
correctly,2,1.0,,1.0
botanical,1,,1.0,
blatant,1,,1.0,
adverts,2,,2.0,
borat,1,,,1.0
izkab,1,,,1.0
appearance,3,,,3.0
wingman,1,,1.0,
dx8as4,1,,1.0,
sentimental,2,,1.0,1.0
tournament,3,1.0,1.0,1.0
lpi,1,,,1.0
tile,1,,1.0,
saved,11,2.0,6.0,3.0
weve,1,,1.0,
overe,4,2.0,1.0,1.0
np,2,,1.0,1.0
prague,2,,1.0,1.0
lele,1,,1.0,
implementing,1,,1.0,
will_paginate,1,,1.0,
rails,4,,3.0,1.0
peru,3,,,3.0
brusters,1,,1.0,
om,2,,1.0,1.0
trina,2,,1.0,1.0
tidied,1,,,1.0
hoovered,1,,,1.0
out2,1,,,1.0
german,7,1.0,2.0,4.0
omgaah,1,,,1.0
creepering,1,,,1.0
gremlin,1,,,1.0
particularly,6,1.0,2.0,3.0
challenging,2,,,2.0
ironically,1,,,1.0
pun,2,,1.0,1.0
thundering,1,1.0,,
bootleg,1,,,1.0
pharos,1,,,1.0
depot,4,,,4.0
gott,1,,1.0,
radishes,1,,,1.0
blooms,1,,,1.0
recolouring,1,,1.0,
whatchu,2,1.0,,1.0
dane,4,2.0,2.0,
lamee,1,1.0,,
sharpied,1,1.0,,
sweden,7,1.0,1.0,5.0
british,3,,1.0,2.0
derny,1,,,1.0
sofie,1,,,1.0
cecausee,1,,,1.0
duh,6,3.0,1.0,2.0
stag,1,1.0,,
tonightt,1,,1.0,
fantasy,2,,,2.0
shock,4,2.0,1.0,1.0
streaming,1,,1.0,
flipping,2,1.0,,1.0
hairloss,1,1.0,,
kitteh,1,,,1.0
checkin,7,1.0,,6.0
oramarecords,1,1.0,,
unagi,1,,1.0,
bear,13,2.0,6.0,5.0
noooooooooo,1,1.0,,
parrents,1,1.0,,
stocktwits,2,1.0,,1.0
promiscuous,1,,,1.0
whaaaaaaaahhhh,1,,,1.0
schoool,3,,2.0,1.0
dragging,3,2.0,,1.0
raincheck,1,1.0,,
isabelle,1,,,1.0
onther,1,,1.0,
marketers,1,,1.0,
keyboards,4,1.0,2.0,1.0
pohaku,1,,,1.0
12st,2,,1.0,1.0
shack,4,2.0,,2.0
80th,1,,,1.0
fallower,1,,,1.0
psst,1,,1.0,
likey,5,1.0,1.0,3.0
urself,3,2.0,1.0,
format,5,1.0,3.0,1.0
twitwoo,1,,,1.0
_steph,1,,,1.0
alo,1,,,1.0
shin,3,2.0,,1.0
ae,1,1.0,,
ll,3,,2.0,1.0
rewatch,1,,1.0,
preparation,1,,1.0,
jaron,1,1.0,,
sneezing,5,3.0,1.0,1.0
147heu,1,,,1.0
mogwai,2,,,2.0
mikes,2,1.0,,1.0
irritating,1,1.0,,
arthritis,2,2.0,,
squats,1,1.0,,
charleston,2,,,2.0
_luciano,1,,1.0,
tremendous,1,,1.0,
winterboard,1,,1.0,
horatio,1,,,1.0
caine,1,,,1.0
sippinn,1,,1.0,
whut,1,,1.0,
sta,1,,1.0,
acting,10,4.0,4.0,2.0
yayay,1,,1.0,
prerecorded,1,,,1.0
jj,2,,,2.0
admk,1,,,1.0
led,4,,2.0,2.0
hyderabad,1,,,1.0
connections,2,,1.0,1.0
_day26,1,,1.0,
uninvited,1,,,1.0
deid,1,,,1.0
esquire,1,,,1.0
fantasize,1,,,1.0
megan,2,,1.0,1.0
youuuchuuub,1,,,1.0
fic,2,,1.0,1.0
duuude,1,,1.0,
vase,1,1.0,,
thirst,1,,,1.0
korean,6,2.0,2.0,2.0
wook,1,,,1.0
notgot,1,1.0,,
funn,2,,2.0,
gymming,1,,,1.0
bawas,1,,,1.0
kanin,1,,,1.0
celibate,1,,,1.0
bond,2,,2.0,
spy,2,,1.0,1.0
rachaels,1,,,1.0
perry,3,,1.0,2.0
soundtrack,3,1.0,,2.0
fool,8,4.0,3.0,1.0
relaxation,5,1.0,4.0,
desperately,1,1.0,,
cakes,12,1.0,3.0,8.0
chaser,1,,1.0,
sympathise,1,1.0,,
justsayin,1,,1.0,
aimeeeeeee,1,,1.0,
adoring,1,,1.0,
loaders,2,2.0,,
custom,3,2.0,,1.0
assembly,4,3.0,,1.0
reports,7,,3.0,4.0
upper,2,,1.0,1.0
60s,2,,2.0,
rosary,1,,,1.0
assignment,11,1.0,6.0,4.0
professional,5,2.0,1.0,2.0
cabaret,1,,1.0,
steam,4,4.0,,
punlk,1,1.0,,
fashion,12,4.0,2.0,6.0
anime,8,2.0,2.0,4.0
torcon,1,1.0,,
snapppp,1,,,1.0
lollll,2,,,2.0
_mak,1,,,1.0
bbm,2,,,2.0
phn,1,,,1.0
tmail,1,,,1.0
breezehope,1,,1.0,
weiters,1,,,1.0
stir,2,,1.0,1.0
hatred,1,,1.0,
mighty,4,1.0,2.0,1.0
scum,2,1.0,1.0,
shecky95,1,,1.0,
hawks,4,1.0,1.0,2.0
4j95z,1,,,1.0
lold,1,,,1.0
yas,3,1.0,2.0,
nighter,2,,1.0,1.0
17jiy8,1,,,1.0
username,8,1.0,1.0,6.0
steigy,1,,,1.0
politics,6,1.0,2.0,3.0
obamas,1,,,1.0
coughing,5,2.0,,3.0
ahahahahahaha,1,,1.0,
dunners,1,1.0,,
boooooo,5,3.0,1.0,1.0
hurricane,4,3.0,,1.0
mizmind,1,,,1.0
gluten,3,1.0,2.0,
quad,3,1.0,1.0,1.0
dual,6,2.0,1.0,3.0
ssd,4,2.0,,2.0
ojcf5l,1,,,1.0
etha,1,,,1.0
sens,1,,,1.0
matic,1,,,1.0
workdone,1,,,1.0
redtape,1,,,1.0
gabe,1,,,1.0
afterparty,1,,,1.0
670rw,1,1.0,,
ali,5,1.0,2.0,2.0
billy,5,1.0,2.0,2.0
bragg,1,,,1.0
blunstone,1,,,1.0
html,11,2.0,4.0,5.0
dabbling,1,,,1.0
intros,1,,,1.0
sticker,5,1.0,3.0,1.0
gigantic,3,,1.0,2.0
piling,1,,1.0,
weight,13,4.0,3.0,6.0
icecream,4,1.0,1.0,2.0
jah,1,,1.0,
hellboy,1,,,1.0
duff,1,,,1.0
abandoned,5,3.0,,2.0
valley,7,,6.0,1.0
moral,1,,1.0,
allies,1,,,1.0
r20,1,,,1.0
2l,1,,,1.0
evluw,1,,1.0,
external,5,1.0,3.0,1.0
phil,7,1.0,4.0,2.0
packer,1,,1.0,
pleting,3,,2.0,1.0
startled,1,,1.0,
lovato,7,1.0,4.0,2.0
cheat,2,2.0,,
sadshoes,1,1.0,,
matey,2,1.0,,1.0
suzi,1,1.0,,
scabs,1,1.0,,
mizz,1,,1.0,
su3eq,1,,,1.0
_ernman,1,,,1.0
hej,1,,,1.0
malena,1,,,1.0
lycka,1,,,1.0
differents,1,,,1.0
preferred,3,,1.0,2.0
wingstop,2,,1.0,1.0
tat,3,,,3.0
brussels,1,,1.0,
sprouts,1,,1.0,
jennnnnn,1,,,1.0
richhhh,1,,,1.0
wast,1,,,1.0
closes,2,1.0,,1.0
prize,3,3.0,,
aaggh,1,,,1.0
curve,5,,2.0,3.0
gash,1,,,1.0
shields,2,,,2.0
advertisement,1,,,1.0
fillings,1,,1.0,
appointments,2,,2.0,
dukes,1,,1.0,
mktg,1,1.0,,
cds,7,3.0,2.0,2.0
suggested,2,1.0,,1.0
emailed,2,1.0,1.0,
md,2,,,2.0
pret,1,,1.0,
tube,4,2.0,1.0,1.0
liep,1,,1.0,
zojuist,1,,1.0,
vast,4,,2.0,2.0
ngs,1,,1.0,
glove,2,,1.0,1.0
_lottie,1,,1.0,
pastimes,1,,1.0,
knack,1,,,1.0
melted,7,3.0,,4.0
speaker,3,,1.0,2.0
moldovan,2,,2.0,
zavaroni,1,,,1.0
brooke,3,1.0,,2.0
barrymore,1,,,1.0
doona,1,1.0,,
carparks,1,1.0,,
amandas,1,,,1.0
crystal,1,,,1.0
calendars,1,,,1.0
socialily,1,,,1.0
naiv,1,,,1.0
restuarant,1,1.0,,
javascript,2,1.0,,1.0
lice,2,1.0,1.0,
helens,1,1.0,,
mri,3,2.0,1.0,
lovies,1,,1.0,
sammich,1,,1.0,
bongie,1,,1.0,
jbcg,1,,,1.0
experiement,1,,,1.0
plead,1,1.0,,
insanity,3,1.0,,2.0
agreeing,4,1.0,2.0,1.0
metric,1,1.0,,
century,2,1.0,,1.0
ryann,1,,1.0,
igloo,2,,1.0,1.0
retainer,1,1.0,,
experiences,2,1.0,1.0,
specific,3,2.0,1.0,
autorun,1,1.0,,
cullen,2,,,2.0
cyber,2,,1.0,1.0
criminal,4,3.0,1.0,
overlords,1,,1.0,
collabs,1,,,1.0
tubas,1,,,1.0
pns,1,,,1.0
lluuvv,1,,,1.0
evenn,1,,,1.0
moreee,1,,,1.0
coolin,1,,,1.0
alicias,1,1.0,,
idkkkk,1,1.0,,
pup,3,,1.0,2.0
nappys,1,,1.0,
nappy,1,,1.0,
braids,1,,1.0,
igot,1,,1.0,
potter,6,1.0,1.0,4.0
spread,9,2.0,4.0,3.0
pillows,2,1.0,,1.0
gryffindor,1,1.0,,
nhn,1,,,1.0
bonus,6,,2.0,4.0
ch,2,,,2.0
khon,1,,,1.0
_longman,1,1.0,,
q100,1,,,1.0
kraut,1,1.0,,
authors,2,1.0,,1.0
insulting,2,2.0,,
nada,1,1.0,,
21cu,1,1.0,,
wheat,3,1.0,,2.0
protein,2,,,2.0
yesma,1,,,1.0
clot,1,1.0,,
lucas,5,,4.0,1.0
cruising,5,2.0,1.0,2.0
bumf,1,,1.0,
shaving,1,,1.0,
munchkin,1,1.0,,
deals,2,,1.0,1.0
nkotbtweetentixsdeal,1,,,1.0
leonardo,2,,1.0,1.0
batcave,1,,,1.0
understanding,2,1.0,,1.0
teeny,1,,,1.0
honda,1,,,1.0
civic,3,2.0,,1.0
biafra,1,,,1.0
happeened,1,1.0,,
ro,3,1.0,1.0,1.0
wiser,2,,2.0,
tzxqn,1,,1.0,
provides,2,,1.0,1.0
viewers,3,,2.0,1.0
cloooseee,1,,,1.0
amanita,1,1.0,,
samorost,1,1.0,,
crutch,1,,,1.0
tattoos,4,,2.0,2.0
peircings,1,,,1.0
promotion,3,1.0,,2.0
itagg,4,,,4.0
fridayfirehazzard,1,,1.0,
neuroanatomy,2,,,2.0
fxs3l,1,,,1.0
masala,1,,,1.0
chaas,1,,,1.0
quark,1,1.0,,
huhuhu,1,1.0,,
x2k1z,1,1.0,,
_uk,4,,2.0,2.0
quaterfinals,1,,1.0,
football,14,2.0,6.0,6.0
penalty,2,1.0,1.0,
twas,6,1.0,3.0,2.0
201th,1,,,1.0
kristin,2,,1.0,1.0
shannon,4,1.0,2.0,1.0
contain,3,,1.0,2.0
amazingly,5,,4.0,1.0
1600th,1,,,1.0
unfair,9,7.0,1.0,1.0
bruvs,1,,1.0,
timetable,1,,1.0,
oral,3,1.0,1.0,1.0
fortunate,2,,2.0,
amtarot,1,,1.0,
wrath,1,,1.0,
wreck,2,2.0,,
imissu,1,1.0,,
ouchies,2,2.0,,
unhealthy,2,2.0,,
primark,1,1.0,,
teleconference,1,1.0,,
jd,2,,,2.0
rubiks,1,,1.0,
sickening,1,1.0,,
_are_fire,1,,,1.0
hii,3,,1.0,2.0
tripped,3,3.0,,
circuit,3,3.0,,
breaker,1,1.0,,
bensons,1,,,1.0
supplies,1,,,1.0
soulmate,1,,,1.0
iznt,1,,,1.0
awaiting,3,1.0,2.0,
lfctv,1,,1.0,
medal,2,1.0,,1.0
funnest,1,,,1.0
righ,2,,,2.0
moab,1,,,1.0
transatlantic,1,1.0,,
carbon,2,1.0,,1.0
footprint,2,1.0,,1.0
gaiman,1,1.0,,
bea,5,1.0,3.0,1.0
statue,3,2.0,,1.0
liberty,2,1.0,,1.0
reopen,1,1.0,,
shawna,1,,1.0,
damon,1,,1.0,
flare,1,1.0,,
fraktastic,1,,,1.0
zoidberg,1,,,1.0
trial,4,2.0,1.0,1.0
stuffit,1,,1.0,
icurve,2,2.0,,
oouchhhh,1,1.0,,
primatech,1,1.0,,
decade,1,1.0,,
heroes,5,2.0,2.0,1.0
deflated,1,,,1.0
nts,1,1.0,,
pffffffffff,1,1.0,,
triumph,2,1.0,,1.0
coordinate,1,,,1.0
fetti,1,,,1.0
noooooo,3,3.0,,
inn,3,1.0,2.0,
crosby,1,,1.0,
mimi,1,,,1.0
feeds,2,1.0,,1.0
republish,1,,,1.0
snuggled,2,,1.0,1.0
beneath,2,1.0,,1.0
schoolmate,1,1.0,,
bally,1,1.0,,
wrongly,1,1.0,,
typed,3,1.0,2.0,
fender,2,1.0,1.0,
_shawn,1,,,1.0
minniapolis,1,1.0,,
_sims,1,,,1.0
scoop,1,,,1.0
kwod,2,,1.0,1.0
arguing,1,1.0,,
satisfaction,1,,1.0,
nth,3,1.0,2.0,
assessment,1,1.0,,
stinging,2,1.0,,1.0
_whacker,1,,,1.0
skypeeeeee,1,,,1.0
hillcats,1,1.0,,
laterz,3,,2.0,1.0
retarded,8,4.0,1.0,3.0
iat,1,,,1.0
rivercenter,1,,,1.0
pokemon,1,,,1.0
mothrs,1,,1.0,
outt,1,,1.0,
thr,3,,3.0,
_jayy,1,,,1.0
mommm,1,,1.0,
workk,2,1.0,1.0,
unofficially,2,,,2.0
providing,3,1.0,1.0,1.0
geelong,1,,,1.0
jeep,2,,1.0,1.0
millsy,1,,,1.0
headbutt,1,,,1.0
translated,2,,1.0,1.0
methodology,1,,1.0,
pankraz,1,,,1.0
boyzone,1,,,1.0
har,4,1.0,,3.0
aots,2,,1.0,1.0
_hayward,1,,,1.0
bridge,7,3.0,1.0,3.0
colette,1,,,1.0
imtiredonline,1,,1.0,
_mcsupergirl,1,1.0,,
num,2,1.0,,1.0
_claire,1,,,1.0
cuong,1,,,1.0
alotment,1,,,1.0
sware,1,1.0,,
entirely,4,1.0,2.0,1.0
messenger,4,1.0,,3.0
surreal,2,,2.0,
oils,1,,1.0,
eta,2,1.0,,1.0
grubby,2,,2.0,
_peer,1,,,1.0
replace,7,1.0,2.0,4.0
topify,2,,,2.0
runny,3,2.0,,1.0
pounding,4,4.0,,
pavyi,1,,,1.0
playingforchange,1,,,1.0
glamorous,1,,1.0,
rachael,1,1.0,,
_another_1,2,,2.0,
kojikun,1,,,1.0
seastar,1,,,1.0
brian,11,2.0,1.0,8.0
weirdo,2,1.0,1.0,
thick,5,2.0,1.0,2.0
chik,1,1.0,,
63ef,1,,,1.0
stays,2,,2.0,
handheld,1,,1.0,
looking4him,1,,1.0,
nqudrt,1,1.0,,
alexandra,1,,1.0,
belmont,1,,1.0,
pushing,5,,1.0,4.0
munderday,1,,1.0,
dudes,7,1.0,4.0,2.0
ghey,1,,,1.0
diggnation,2,,1.0,1.0
kuya,1,,,1.0
jordans,1,,,1.0
_indian,1,,,1.0
advantage,7,,5.0,2.0
pathetic,9,5.0,1.0,3.0
luch,1,,1.0,
plate,4,1.0,2.0,1.0
pg,3,1.0,,2.0
yawn,3,,,3.0
aunty,2,1.0,,1.0
stina,1,1.0,,
21st,3,1.0,,2.0
claires,2,,,2.0
hooome,1,,,1.0
tought,1,,1.0,
jjj,2,,1.0,1.0
teachers,6,4.0,1.0,1.0
_cupcakes,2,1.0,1.0,
4wb42,1,,,1.0
pletes,1,,1.0,
pius,1,,,1.0
rally,2,1.0,,1.0
cheering,4,1.0,,3.0
olympics,1,,1.0,
1c,1,1.0,,
melt,5,3.0,1.0,1.0
vendor,1,,,1.0
_in,1,,,1.0
raul,1,,,1.0
julia,2,,1.0,1.0
gearbox,1,1.0,,
sickly,1,,,1.0
yippeee,2,,1.0,1.0
increase,2,1.0,,1.0
efforts,2,2.0,,
meanie,3,1.0,,2.0
teasing,2,,,2.0
67rt8,1,,,1.0
feeeeeet,1,1.0,,
lest,1,1.0,,
vital,1,1.0,,
smfh,2,1.0,,1.0
reactin,1,,,1.0
jager,2,1.0,,1.0
licked,1,,,1.0
asian,5,1.0,1.0,3.0
damns,1,,1.0,
obscurity,1,,1.0,
ummmm,1,1.0,,
expansions,1,,1.0,
definition,4,1.0,3.0,
senioritis,1,1.0,,
calculus,2,2.0,,
slackin,1,1.0,,
feelings,12,8.0,2.0,2.0
pitmans,1,1.0,,
killen,2,2.0,,
sashas,1,,,1.0
aweesome,1,,1.0,
anit,1,,,1.0
blankets,4,,2.0,2.0
2d,1,,,1.0
nishiki,1,,,1.0
pushed,5,3.0,,2.0
mahirap,1,1.0,,
talaga,3,1.0,1.0,1.0
supervise,2,1.0,,1.0
tao,3,1.0,1.0,1.0
wxqwa,1,1.0,,
_hearts,1,,,1.0
cannae,1,,,1.0
hen,2,,1.0,1.0
nae,1,,,1.0
livi,1,,,1.0
xxxx,9,1.0,5.0,3.0
67iab,1,,,1.0
rounding,1,,,1.0
bases,1,,,1.0
relays,1,,,1.0
bastos,2,,1.0,1.0
mabaho,1,,1.0,
stellar,1,,1.0,
stil,2,1.0,,1.0
kneeling,1,1.0,,
mowing,4,1.0,2.0,1.0
advise,1,,1.0,
hup,1,1.0,,
funeral,8,5.0,1.0,2.0
atlanta,2,,,2.0
joco,1,,,1.0
yippie,1,,1.0,
trails,3,1.0,2.0,
fretful,1,,,1.0
mumbling,1,,,1.0
muffled,1,,,1.0
lactose,6,1.0,3.0,2.0
progressive,2,,1.0,1.0
mojitos,1,1.0,,
20dd,1,1.0,,
quid,1,1.0,,
tgthr,1,1.0,,
jonesy,1,1.0,,
paradise,3,2.0,1.0,
catchers,1,1.0,,
aussie,9,2.0,5.0,2.0
spaceship,1,1.0,,
stranded,3,2.0,,1.0
highway,4,3.0,,1.0
naa,1,,,1.0
springs,2,1.0,1.0,
2sljbw,1,1.0,,
_kat,2,1.0,,1.0
begged,1,1.0,,
lt,2,2.0,,
attic,2,1.0,,1.0
wink,6,1.0,4.0,1.0
downhill,1,1.0,,
shoutbox,1,1.0,,
overheat,1,1.0,,
campaign,3,2.0,,1.0
skirts,1,1.0,,
newt,2,1.0,1.0,
freezer,5,2.0,1.0,2.0
aweful,3,1.0,,2.0
programmer,2,1.0,,1.0
frc,1,,1.0,
pcola,1,,1.0,
piggies,1,,,1.0
hmpf,1,,,1.0
topping,2,1.0,,1.0
reruns,2,,,2.0
maria,6,1.0,2.0,3.0
confsuing,1,1.0,,
hathe,1,1.0,,
potential,7,3.0,1.0,3.0
